ontologyTermIRI	Atccode
http://www.UMCG.nl/bac9a4464183cf7c40616de5437c7e29	A01AC
http://www.UMCG.nl/cda9bd0f59bf369c5bcc9dbb2c41e437	A01AC
http://www.UMCG.nl/db88337e64d73d0186c8e190d8146420	A01AC
http://www.UMCG.nl/f1cff9af667f7b5adebc686f72ee903c	A01AC
http://www.UMCG.nl/f3f79d6fdcbe61a4512bb80cf81ca510	A01AC
http://www.UMCG.nl/fa3125128c766514e09e0225493b0e23	A01AC
http://nl.dbpedia.org/resource/Triamcinolon	A01AC01
http://www.UMCG.nl/06be092d72c984886726991a926aee94	A01AC01
http://www.UMCG.nl/12aa7d793eb3f0cabd8e1a993a13dc43	A01AC01
http://www.UMCG.nl/587536656fea97c5ff1a6ba563821a78	A01AC01
http://www.UMCG.nl/5d03cd31de9780caa01ad29a79d149ff	A01AC01
http://www.UMCG.nl/7da577ef329b80b2dd4a99880873b2ac	A01AC01
http://www.UMCG.nl/995ed3cb4c0b7a9864471793ceefe249	A01AC01
http://www.UMCG.nl/b99122a19d6609b1a25bf65593facee5	A01AC01
http://www.UMCG.nl/ecdb7e09dec0de08900fbe1a5f0c25e9	A01AC01
http://www.UMCG.nl/ed044d9c2fc062d431661e30eef7b07b	A01AC01
http://www.UMCG.nl/f23a8c922cf0b6f12223c9fb6d937dd8	A01AC01
http://www.UMCG.nl/f9f3c7dc20f8d9ef0eb69d2c76e3bc83	A01AC01
http://www.UMCG.nl/11c802598ff7e9c455d1ce7e28464b62	A01AC02
http://www.UMCG.nl/13937d4738dbe2a1a402e4b48fb78dce	A01AC02
http://www.UMCG.nl/d1eb943e73bd9d698cabf0e7ac1f63b7	A01AC02
http://www.UMCG.nl/d2fbd31243a314472d08591e4a88c599	A01AC02
http://www.UMCG.nl/d76a1941b2095d58aa1c8dab4e70443d	A01AC02
http://www.UMCG.nl/f39a8f7b1bd27071f73e5cc17c559245	A01AC02
http://www.UMCG.nl/0916b0f53dd303779498dd7074fd0e32	A01AC03
http://www.UMCG.nl/7f35e439ec2d3679502d511723c97d9e	A01AC03
http://www.UMCG.nl/b7acb2290af1c3b083fbe8ae9e553f9e	A01AC03
http://www.UMCG.nl/d8fe080916908ac1d12058ea7d6554a9	A01AC03
http://www.UMCG.nl/26814abc5ac01c7464addcb2fa8303c6	A01AC54
http://www.UMCG.nl/c3f80f62135e8e646a4153e2afabc510	A01AD
http://www.UMCG.nl/b1d1af61ca494db104741a2e50ca5f23	A01AD01
http://www.UMCG.nl/6c9c0fb52b9784f10bb5ae04dc10ae07	A01AD02
http://www.UMCG.nl/597c2f37ce97ae4f595bad0dee5e8aa1	A01AD05
http://www.UMCG.nl/fc7fda7cf5c93d9c912bf929e21ca7ad	A01AD06
http://www.UMCG.nl/6f70abfaed6920ed9086aa441fe04ee7	A01AD07
http://www.UMCG.nl/75e932303129328e0600ad5f7eba0b3a	A01AD07
http://www.UMCG.nl/bffaf21ce4070816365272bf633ca9d0	A01AD07
http://www.UMCG.nl/ab57037ad12410c0a56f708799855399	A01AD08
http://www.UMCG.nl/03ce98c860361680a9bf7e56265aee80	A01AD11
http://www.UMCG.nl/088f5f5065ab083525c8fa8b3b691feb	A01AD11
http://www.UMCG.nl/0bbdf1c9d2e95f9b94a73f75f319eb95	A01AD11
http://www.UMCG.nl/113a85499b8d8e8327fd481153071399	A01AD11
http://www.UMCG.nl/19ef336bfbffc9571ad8391be0506ac6	A01AD11
http://www.UMCG.nl/2139eaca2b47a4332e26862d61864687	A01AD11
http://www.UMCG.nl/2e0ad3bfe0d644206d3dd0b2ce4b03b5	A01AD11
http://www.UMCG.nl/2fa6d2a5efffdd4dc9791d756ade6566	A01AD11
http://www.UMCG.nl/2ff707ea8dd54d2e2dccee63bcbd1979	A01AD11
http://www.UMCG.nl/31584c3efae2479f400f63eb6b0192c0	A01AD11
http://www.UMCG.nl/37963402246a1ee53c602dd68d06ba31	A01AD11
http://www.UMCG.nl/41f2cef7b65fd133813db5056651344c	A01AD11
http://www.UMCG.nl/4aa556a001d19538233e5a115ed8877c	A01AD11
http://www.UMCG.nl/4ba284fbe06b9a7a0e6da12e8eed8de2	A01AD11
http://www.UMCG.nl/51d0aca594ef4d7409d179e169ec0cf9	A01AD11
http://www.UMCG.nl/573ab539d2350eb16957633b3ec62c41	A01AD11
http://www.UMCG.nl/57700fa61757af291f307177e2c7cbbd	A01AD11
http://www.UMCG.nl/6da3075ed753ca85aa911266178b0be0	A01AD11
http://www.UMCG.nl/7c32b0db75b863a08f4851f38b2b0123	A01AD11
http://www.UMCG.nl/7ccd16523af0cb5da1632b2e220cd7c7	A01AD11
http://www.UMCG.nl/8477ec86f51f909c33ef5f235ace4024	A01AD11
http://www.UMCG.nl/8e8a1268dc4bf94300d3ff661efc1d1c	A01AD11
http://www.UMCG.nl/9a6888f55f61f1ff2529d14dbb947acb	A01AD11
http://www.UMCG.nl/a5e95d9d750aac5d6fbeb18f3e5513de	A01AD11
http://www.UMCG.nl/a62769c7cfe3d35004cd6d6281d6a024	A01AD11
http://www.UMCG.nl/a6911e74a170af72469b977b55a08189	A01AD11
http://www.UMCG.nl/a837ede64305a3899f0ae6eaf25c3fec	A01AD11
http://www.UMCG.nl/a83dd059f1aaa52fdc22d9a5bccf210c	A01AD11
http://www.UMCG.nl/ab8e32068af2a7df79573356383ad9eb	A01AD11
http://www.UMCG.nl/b051f33612bb81278d56dbaeced4171c	A01AD11
http://www.UMCG.nl/b724f83374f0ca4a046ef459114cfca4	A01AD11
http://www.UMCG.nl/bbc8cff4d75f3b1c8ba2097f1d058878	A01AD11
http://www.UMCG.nl/cd44a2a00d6a72159aaf5df30154f67c	A01AD11
http://www.UMCG.nl/ced9ada95b7f857978d92c38fdcbd360	A01AD11
http://www.UMCG.nl/d0688630d6c505601b1f414b4430b747	A01AD11
http://www.UMCG.nl/d77a7f8920eb4ddda5d09a88b4e97245	A01AD11
http://www.UMCG.nl/e0ded3721651c2eccf6c7b32591caf46	A01AD11
http://www.UMCG.nl/e30e45783083cfa64368782277cdb863	A01AD11
http://www.UMCG.nl/e32e6ff8de43d1eba1d2afee7cdd8bb3	A01AD11
http://www.UMCG.nl/e8562c97179102b02c2be011d85d4530	A01AD11
http://www.UMCG.nl/e8f2c0bc51bc37de6cd269c687d0c817	A01AD11
http://www.UMCG.nl/f1af0e212ab4fe99eba9e391e931513d	A01AD11
http://www.UMCG.nl/f44f7d086c7960fc36481becae828229	A01AD11
http://www.UMCG.nl/f9c7e42d161615cc23321c25329f172c	A01AD11
http://www.UMCG.nl/62479ba71681c6f3ab865d3e08f91e05	A02
http://www.UMCG.nl/435b5a740dfc21fbe402b02b3a590151	A02A
http://www.UMCG.nl/9d331fb61e36e214216351cba187643f	A02AA
http://www.UMCG.nl/2605b8a974247352614e8a35e228113e	A02AA01
http://www.UMCG.nl/497a4afec11104a9f623952539780a90	A02AA01
http://www.UMCG.nl/7917ae3bb8d0b28c008e671ef9a1bcf5	A02AA01
http://www.UMCG.nl/ad5f46c8357f6d524259ee6a56386438	A02AA01
http://www.UMCG.nl/1dbf11332d6aa06060b0dbb52632ba0c	A02AA02
http://www.UMCG.nl/212b1932498c713426688d564f3ca8fb	A02AA02
http://www.UMCG.nl/34ab122b1dd71736ca720fa7ec8dff77	A02AA02
http://www.UMCG.nl/3ebd1f4145520f4df578671f44a21ac3	A02AA02
http://www.UMCG.nl/408313ce79a180c642479469248bd525	A02AA02
http://www.UMCG.nl/8b27f057544ea407f029af49144a97f1	A02AA02
http://www.UMCG.nl/9545536b7384d8a248bfe0fcaba367ce	A02AA02
http://www.UMCG.nl/9deffc18e0e9b6c9feeec5704df67568	A02AA02
http://www.UMCG.nl/dac2675980bb726bfe3e90c38fea1a60	A02AA02
http://www.UMCG.nl/ebed53e5a95388cf2f7376b9b36ad988	A02AA02
http://www.UMCG.nl/50a1b7f4951fe1f6ff17ffeae9425773	A02AA03
http://www.UMCG.nl/6a4bc3def89e05430f4f374447e8ed63	A02AA03
http://www.UMCG.nl/782df7e05f5bd2571ae1e8d6ac39c809	A02AA03
http://www.UMCG.nl/934d60fff7a7196ab664ec603ec9c95f	A02AA03
http://www.UMCG.nl/a4741c8272e05465e18041b2d40c5bcc	A02AA03
http://www.UMCG.nl/ac2c2be03a22db3909a93281036276d7	A02AA03
http://www.UMCG.nl/c178e9edc520dd994e55c1b2b9eccbd2	A02AA03
http://www.UMCG.nl/c5d7d4e6a49928d8a73d47381662b442	A02AA03
http://www.UMCG.nl/d121edb9eb23f11864adca8ae82d0cbe	A02AA03
http://www.UMCG.nl/e9032341eaa0048879032a8fc0ddc0e7	A02AA03
http://www.UMCG.nl/f906bc9debfd391cd2bbd950909e6225	A02AA03
http://www.UMCG.nl/47a20c9b5bafeacbd60a0ab0821954ad	A02AA04
http://www.UMCG.nl/7342da2261d37f98f566394acb89cedd	A02AA04
http://www.UMCG.nl/92ace3b0b66c347004bf5ef0e98ce627	A02AA04
http://www.UMCG.nl/9bd35ed8c225669d718ecfe9b343bcfc	A02AA04
http://www.UMCG.nl/ad7a870c8e5c98609415af1a92410eca	A02AA04
http://www.UMCG.nl/e641a5f63e17446371068fd4cb153563	A02AA04
http://www.UMCG.nl/fb5a37d55e68cd4d2e54c46d0cd0d44d	A02AA04
http://www.UMCG.nl/2b1a5668b7468991f6ac265e2e74f513	A02AA05
http://www.UMCG.nl/7299d8e62fa0da051ace953e1dc8fe2e	A02AA05
http://www.UMCG.nl/bbba97c4742bc8f7f0741d41ba6d6358	A02AA05
http://www.UMCG.nl/e32e7a25cabb2028f0489d4fa2773370	A02AA10
http://www.UMCG.nl/1ed98432e2bd81038480f135136b5ef1	A02AB
http://www.UMCG.nl/8b4f995f8c826a2cb80f6a1517574ca7	A02AB01
http://www.UMCG.nl/05d0c621ccb5c678e4d43e3718f9af79	A02AB02
http://www.UMCG.nl/112a2d9b01162e66641d52897774847f	A02AB02
http://www.UMCG.nl/17d745b3e88caf71d15cce32bbcd3173	A02AB02
http://www.UMCG.nl/28e3c833d37d0001b3b436b10631d21c	A02AB02
http://www.UMCG.nl/330534606a9b3afc4736e21ff868d514	A02AB02
http://www.UMCG.nl/4103535f7c92650af83315910e751523	A02AB02
